Question,Answer,Chapter
Bonus for 15: FIB: Then ___ prayed unto the Lord his God out of the ___ ___.,"Jonah, fish's, belly, Jonah 2:1",2
In Jonah 2: From where did he pray to the Lord?,"the fish's belly, Jonah 2:1",2
"In Jonah's prayers, he said that he cried by reason of what, unto the Lord?","his affliction, Jonah 2:2",2
"According to Jonah, what did the Lord do when Jonah cried by reason of his affliction?","heard him (Jonah), Jonah 2:2",2
"FIB with one blank: Out of the ___ of hell cried I, and thou heardest my voice.","belly, Jonah 2:2",2
"FIB with one blank: Out of the belly of ___ cried I, and thou heardest my voice.","hell, Jonah 2:2",2
"When Jonah cried out of the belly of hell, what did the Lord hear?","his voice, Jonah 2:2",2
"Bonus for 10: In Jonah's prayer he said that the Lord cast him into what, in the midst of what?","into the deep, in the midst of the seas, Jonah 2:3",2
"According to Jonah, what compassed about him as all God's billows and waves passed around him?","the floods, Jonah 2:3",2
Jonah said that all of God's waves and what else passed over him?,"billows, Jonah 2:3",2
"Bonus for 25: FIB: For thou hadst cast me into the ___, in the midst of the ___, and the ___ compassed me about, all thy ___ and thy ___ passed over me.","deep, seas, floods, billows, waves, Jonah 2:3",2
"As Jonah said he would look toward God's holy temple, what did he say he was cast out of?","thy (God's) sight, Jonah 2:4",2
What did Jonah say he would look toward despite being cast out of God's sight?,"thy holy temple, Jonah 2:4",2
"The waters compassed Jonah about, even to what?","the soul, Jonah 2:5",2
"In Jonah's prayer, what wrapped about his head?","the weeds, Jonah 2:5",2
"In his prayer, what compassed Jonah about, even to his soul?","the waters, Jonah 2:5",2
Jonah went down to the bottoms of what according to his prayer?,"the mountains, Jonah 2:6",2
FIB with one blank from Jonah 2: the earth with her ___ was about me for ever.,"bars, Jonah 2:6",2
"What, with her bars, was about Jonah for ever?","the earth, Jonah 2:6",2
"FIB with one blank: Yet hast thou brought up my life from ___, O Lord my God.","corruption, Jonah 2:6",2
Jonah said that he remembered the Lord when what fainted within him?,"his soul, Jonah 2:7",2
"In his prayer, what did Jonah say he did when his soul fainted within him?","remembered the Lord, Jonah 2:7",2
"Bonus for 15: FIB: When my soul fainted within me I remembered the Lord, and my ___ came in unto thee, into thine ___ ___.","prayer, holy, temple, Jonah 2:7",2
They that observe what forsake their own mercy according to Jonah?,"lying vanities, Jonah 2:8",2
What did Jonah say about they that observe lying vanities?,"they forsake their own mercy, Jonah 2:8",2
With what kind of voice did Jonah say he would sacrifice unto the Lord?,"thanksgiving, Jonah 2:9",2
"FIB with one blank: I will pay that, that I have ___. Salvation is of the Lord.","vowed, Jonah 2:9",2
What did Jonah say is of the Lord right before the Lord spake unto the fish?,"salvation, Jonah 2:9",2
What did the fish do when the Lord spake unto it?,"vomited out Jonah (upon the dry land), Jonah 2:10",2
What happened before the fish vomited out Jonah?,"the Lord spake unto the fish, Jonah 2:10",2
Upon what did the fish vomit out Jonah?,"the dry land, Jonah 2:10",2
Bonus for 10: Finish the verse: And the Lord spake unto the fish...,"and it vomited out Jonah upon the dry land, Jonah 2:10",2
"FIB with one blank: And the word of the Lord came unto Jonah the ___ time saying,","second, Jonah 3:1",3
The Lord told Jonah to got unto Nineveh and preach unto it what?,"the preaching that I bid thee, Jonah 3:2",3
"Bonus for 15: FIB: Arise, go unto Nineveh, that great city, and ___ unto it the ___ that I ___ thee.","preach, preaching, bid, Jonah 3:2",3
"Jonah arose, and went unto Nineveh according to what?","the word of the Lord, Jonah 3:3",3
FIB with one blank: Now Nineveh was an ___ great city of three days journey.,"exceeding, Jonah 3:3",3
Nineveh was how many days jouney?,"three, Jonah 3:3",3
Bonus for 15: Jonah began to enter into the city a day's journey. What did he Cry?,"Yet forty days, and Nineveh shall be overthrown, Jonah 3:4",3
Jonah cried that after how many days Nineveh shall be overthrown?,"forty, Jonah 3:4",3
"Bonus for 20: So the people of ___ believed God, and ___ a ___, and put on ___.","Nineveh, proclaimed, fast, sackcloth, Jonah 3:5",3
What did the people of Nineveh proclaim?,"a fast, Jonah 3:5",3
How was the group of people from Nineveh described that proclaimed a fast and put on sackcloth?,"from the greatest of them even to the least of them, Jonah 3:5",3
"Bonus for 15: Word came unto the king of Nineveh, and he arose from his throne. What three things did he do before making a proclamation?","laid his robe from him, covered him with sackcloth, sat in ashes, Jonah 3:6",3
What did the King of Nineveh arise from after word came unto him?,"his throne, Jonah 3:6",3
What did the King of Nineveh sit in after arising from his throne?,"ashes, Jonah 3:6",3
Bonus for 15: FIB: And he caused it to be ___ and ___ through Nineveh by the ___ of the king and his nobles.,"proclaimed, published, decree, Jonah 3:7",3
Bonus for 20: What four groups did the King of Nineveh say should not taste any thing?,"man, beast, herd, flock, Jonah 3:7",3
Waht did the king of Nineveh say man and beast should be covered with?,"sackcloth, Jonah 3:8",3
How did the king of Nineveh say they should cry unto God?,"mightily, Jonah 3:8",3
"FIB with one blank: Let them turn every one from his evil way, and from the ___ that is in their hands.","violence, Jonah 3:8",3
The king of Nineveh called for every one to turn from violence and from what kind of way?,"evil, Jonah 3:8",3
"Who said the following: ""Who can tell if God will turn and repent, and turn away from his firce anger, that we perish not?""","the King of Nineveh, Jonah 3:9",3
The king asked if God would turn away from his fierce anger so that what would not happen?,"they would perish not, Jonah 3:9",3
"FIB with one word: Who can tell if God will turn and ___, and turn away from his firce anger...","repent, Jonah 3:9",3
"The king asked if God would turn and repent, and turn away from what, that they perish not?","his fierce anger, Jonah 3:9",3
God saw that the people of Nineveh turned from what?,"their evil way, Jonah 3:10",3
"Bonus for 15: And God saw their ___, that they turned from their ___ ___.","works, evil, way, Jonah 3:10",3
"Finish the sentence: And God repented of the evil, that he had said that he would do unto them...","and he did it not, Jonah 3:10",3
This person is described as being displeased exceedingly and very angry. Name this person.,"Jonah, Jonah 4:1",4
How did God's actions displease Jonah?,"exceedingly, Jonah 4:1",4
"Jonah was displeased exceedingly, how else was he described?","very angry, Jonah 4:1",4
"Bonus for 25: For I knew that thou art a ___ God, and ___, slow to anger, and of great ___, and ___ thee of the ___.","gracious, merciful, kindness, repentest, evil, Jonah 4:2",4
What did Jonah say he knew God was slow to?,"anger, Jonah 4:2",4
Why did Jonah say that the Lord should take his life from him?,"it is better for me to die than to live, Jonah 4:3",4
"Who was the following said to: ""Doest thou well to be angry?""","Jonah, Jonah 4:4",4
FIB with one blank: Doest thou well to be ___?,"angry, Jonah 4:4",4
Jonah went out of the city and sat on what side of it?,"the east side, Jonah 4:5",4
"What did Jonah make and sit under, outside the city?","a booth, Jonah 4:5",4
Jonah made a booth and sat under it in what?,"the shadow, Jonah 4:5",4
Why did Jonah sit outside the city in a booth?,"to see what would become of the city, Jonah 4:5",4
"God prepared this thing, and made it to come up over Jonah. What is this thing?","a gourd, Jonah 4:6",4
God prepared the goard to deliver Jonah from what?,"his grief, Jonah 4:6",4
How did Jonah feel because of the gourd?,"exceeding glad, Jonah 4:6",4
"When the morning rose the next day, what did God prepare for Jonah?","a worm, Jonah 4:7",4
What happened when god prepared a worm for the goard?,"it smote the gourd that it withered, Jonah 4:7",4
"When, in the next day, did God prepare a worm?","when the morning rose, Jonah 4:7",4
What did god prepare after the worm smote the goard?,"a vehement east wind, Jonah 4:8",4
What did the sun do to Jonah after God prepared a vehement east wind?,"it beat upon his head, Jonah 4:8",4
"Jonah did what, and wished himself to die after the sun beat upon his head?","fainted, Jonah 4:8",4
"Who said the following: ""It is better for me to die than to live"".","Jonah, Jonah 4:8",4
FIB with one blank: Doest thou well to be angry for the ___?,"gourd, Jonah 4:9",4
Jonah said he did well to be angry even unto what?,"death, Jonah 4:9",4
"Bonus for 15: Thou hast had pity on the ___, for the which thou hast not ___, neither madest it ___,","goard, laboured, grow, Jonah 4:10",4
What did God say Jonah had on the goard?,"pity, Jonah 4:10",4
The gourd came up and did what else in a night?,"perished, Jonah 4:10",4
How many persons did God say were in Nineveh?,"sixscore thousand (120 thousand), Jonah 4:11",4
What did God say about the discernment of the people of Nineveh?,"they cannot discern between their right hand and their left hand, Jonah 4:11",4
"Aside from the sixscore thousand persons, what else did God say lived in Nineveh?","much cattle, Jonah 4:11",4
